Borough,Party,Office / Contest,district_type,district_id,district_label,vote_for,candidate_count,candidates,contested
Queens,Democratic,District Leader,party_leadership,24,Democratic Leadership District 24 Part B,2,2,"['Albert Baldeo', 'Usha I. Raghunath']",True
Queens,Democratic,District Leader,party_leadership,24,Democratic Leadership District 24 Part B,2,2,"['Varinder Singh', 'Rhonda S. Binda']",True
Queens,Democratic,District Leader,party_leadership,28,Democratic Leadership District 28 Part B,2,1,['Nina Kulkarni'],False
Queens,Democratic,District Leader,party_leadership,28,Democratic Leadership District 28 Part B,2,2,"['Melissa Ann San Pedro', 'Christopher R. Hanusa']",True
Queens,Democratic,District Leader,party_leadership,28,Democratic Leadership District 28 Part B,2,2,"['Maximillian Morquecho', 'Sharon Levy']",True
Queens,Democratic,District Leader,party_leadership,34,Democratic Leadership District 34 Part A,2,2,"['Carolina Maria Korth', 'Andreas Migias']",True
Queens,Democratic,District Leader,party_leadership,34,Democratic Leadership District 34 Part A,2,1,['Shawna Morlock'],False
Queens,Democratic,District Leader,party_leadership,35,Democratic Leadership District 35 Part A,2,2,"['Sonya Harvey', 'Hiram Monserrate']",True
Queens,Democratic,District Leader,party_leadership,35,Democratic Leadership District 35 Part A,2,2,"['David Aiken', 'Larinda C. Hooks']",True
Queens,Democratic,District Leader,party_leadership,35,Democratic Leadership District 35 Part B,2,1,['James B. Fogle'],False
Queens,Democratic,District Leader,party_leadership,35,Democratic Leadership District 35 Part B,2,2,"['Jose M. Morillo', 'Michelle Dunston']",True
Queens,Democratic,Judge of the Civil Court,other,,County - Queens,2,4,"['John J. Ciafone', 'Julie M. Milner', 'Edward Irizarry', 'Edmond Wong']",True
Queens,Democratic,Member of the Assembly,assembly,23,23rd Assembly District,1,2,"['Pesach Osina', 'Mike Scala']",True
Queens,Democratic,Member of the Assembly,assembly,28,28th Assembly District,1,2,"['Andrew D. Hevesi', 'Jonathan D. Rinaldi']",True
Queens,Democratic,Member of the Assembly,assembly,30,30th Assembly District,1,3,"['Somnath Ghimire', 'Patrick Martinez', 'Shamsul Haque']",True
Queens,Democratic,Member of the Assembly,assembly,32,32nd Assembly District,1,5,"['Mohammed J. Molla', 'Latoya L. LeGrand', 'Tunisia Morrison', 'Queen Johnson', 'Nathaniel Hezekiah III']",True
Queens,Democratic,Member of the Assembly,assembly,33,33rd Assembly District,1,2,"['Oster Bryan', 'Clyde Vanel']",True
Queens,Democratic,Member of the Assembly,assembly,34,34th Assembly District,1,2,"['Brian Romero', 'Rosa Sanchez']",True
Queens,Democratic,Member of the Assembly,assembly,36,36th Assembly District,1,3,"['Mary Jobaida', 'Kevin P. Coenen', 'Diana C. Moreno']",True
Queens,Democratic,Member of the Assembly,assembly,37,37th Assembly District,1,3,"['Samantha Kattan', 'Pia Rahman', 'Melissa Orlando']",True
Queens,Democratic,Member of the Assembly,assembly,38,38th Assembly District,1,2,"['David Orkin', 'Jenifer Rajkumar']",True
Queens,Democratic,Member of the Assembly,assembly,39,39th Assembly District,1,2,"['Catalina Cruz', 'Yonel E. Letellier Sosa']",True
Queens,Democratic,Representative in Congress,congress,14,14th Congressional District,1,3,"['Alexandria Ocasio-Cortez', 'Felipe Garcia', 'Marty Dolan']",True
Queens,Democratic,Representative in Congress,congress,3,3rd Congressional District,1,2,"['Thomas R. Suozzi', 'Danielle Welch']",True
Queens,Democratic,Representative in Congress,congress,6,6th Congressional District,1,2,"['Grace Meng', 'Chuck Park']",True
Queens,Democratic,Representative in Congress,congress,7,7th Congressional District,1,4,"['Vichal Kumar', 'Antonio Reynoso', 'Claire Valdez', 'Julie Won']",True
Queens,Democratic,State Committee,assembly,24,24th Assembly District,2,2,"['Imran I. Rahman', 'Jamilla A. Uddin']",True
Queens,Democratic,State Committee,assembly,24,24th Assembly District,2,2,"['Albert Baldeo', 'Usha I. Raghunath']",True
Queens,Democratic,State Committee,assembly,34,34th Assembly District,2,1,['Luis P. Montalvo'],False
Queens,Democratic,State Committee,assembly,34,34th Assembly District,2,2,"['Carolina Maria Korth', 'John G. Scott']",True
Queens,Democratic,State Committee,assembly,35,35th Assembly District,2,1,['Lidia V. Alvarado'],False
Queens,Democratic,State Committee,assembly,35,35th Assembly District,2,2,"['William A. Espinal', 'Trenise Jessica Fuller']",True
Queens,Democratic,State Committee,assembly,39,39th Assembly District,2,2,"['Alberto Ossa', 'Gabriela Perez']",True
Queens,Democratic,State Committee,assembly,39,39th Assembly District,2,2,"['Kevin I. Jusino', 'Yanna M. Henriquez']",True
Queens,Democratic,State Comptroller,citywide,,Citywide,1,3,"['Thomas P. DiNapoli', 'Drew Warshaw', 'Raj Goyle']",True
Queens,Democratic,State Senator,senate,12,12th Senatorial District,1,2,"['Steven B. Raga', 'Aber Kawas']",True
Queens,Democratic,State Senator,senate,13,13th Senatorial District,1,3,"['Jessica Ramos', 'Hiram Monserrate', 'Jessica Gonzalez-Rojas']",True
Queens,Democratic,State Senator,senate,15,15th Senatorial District,1,2,"['Albert Baldeo', 'Joseph P. Addabbo Jr.']",True
Queens,Republican,Member of the Assembly,assembly,26,26th Assembly District,1,2,"['Robert J. Speranza', 'Philip Sean Grillo']",True
Queens,Republican,Representative in Congress,congress,3,3rd Congressional District,1,2,"['Michael J. LiPetri Jr.', 'Greg Hach']",True
Staten Island,Democratic,Representative in Congress,congress,11,11th Congressional District,1,2,"['Allison Ziogas', 'Mike DeCillis']",True
Staten Island,Democratic,State Comptroller,citywide,,Citywide,1,3,"['Thomas P. DiNapoli', 'Drew Warshaw', 'Raj Goyle']",True
Staten Island,Democratic,State Senator,senate,23,23rd Senatorial District,1,2,"['Omar Mohamad', 'Jessica Scarcella-Spanton']",True
